"id","City","ST","ZIP","A/C","FIPS","County","T/Z","DST?","Lat","Long","Type"
1,"Holtsville","NY","00501","631",36103,"Suffolk","EST","Y","40.8151","-73.0455","U"
2,"Holtsville","NY","00544","631",36103,"Suffolk","EST","Y","40.8132","-73.0476","U"
3,"Adjuntas","PR","00601","787",72001,"Adjuntas","EST+1","N","18.1642","-66.7227",
4,"Aguada","PR","00602","787",72003,"Aguada","EST+1","N","18.3974","-67.1679",
5,"Aguadilla","PR","00603","787",72005,"Aguadilla","EST+1","N","18.4409","-67.1508",
6,"Aguadilla","PR","00604","787",72005,"Aguadilla","EST+1","N","18.4295","-67.1547","P"
7,"Aguadilla","PR","00605","787",72005,"Aguadilla","EST+1","N","18.4289","-67.1538","P"
8,"Maricao","PR","00606","787",72093,"Maricao","EST+1","N","18.1825","-66.9805",
9,"Anasco","PR","00610","787",72011,"Anasco","EST+1","N","18.2859","-67.1412",
10,"Angeles","PR","00611","787",72141,"Utuado","EST+1","N","18.2856","-66.9698","P"
11,"Arecibo","PR","00612","787",72013,"Arecibo","EST+1","N","18.4739","-66.7295",
12,"Arecibo","PR","00613","787",72013,"Arecibo","EST+1","N","18.4748","-66.7215","P"
13,"Arecibo","PR","00614","787",72013,"Arecibo","EST+1","N","18.4567","-66.7358","P"
14,"Bajadero","PR","00616","787",72013,"Arecibo","EST+1","N","18.4287","-66.6836",
15,"Barceloneta","PR","00617","787",72017,"Barceloneta","EST+1","N","18.4548","-66.5389",
16,"Boqueron","PR","00622","787",72023,"Cabo Rojo","EST+1","N","18.0265","-67.1727",
17,"Cabo Rojo","PR","00623","787",72023,"Cabo Rojo","EST+1","N","18.0849","-67.1633",
18,"Penuelas","PR","00624","787",72111,"Penuelas","EST+1","N","18.0112","-66.3514",
19,"Camuy","PR","00627","787",72027,"Camuy","EST+1","N","18.4865","-66.8455",
20,"Castaner","PR","00631","787",72081,"Lares","EST+1","N","18.1639","-66.7245","P"
21,"Rosario","PR","00636","787",72125,"San German","EST+1","N","18.1647","-67.0797","P"
22,"Sabana Grande","PR","00637","787",72121,"Sabana Grande","EST+1","N","18.0664","-66.9568",
23,"Ciales","PR","00638","787",72039,"Ciales","EST+1","N","18.3392","-66.4685",
24,"Utuado","PR","00641","787",72141,"Utuado","EST+1","N","18.2676","-66.7005",
25,"Dorado","PR","00646","787",72051,"Dorado","EST+1","N","18.4598","-66.2592",
26,"Ensenada","PR","00647","787",72055,"Guanica","EST+1","N","17.9715","-66.9368",
27,"Florida","PR","00650","787",72054,"Florida","EST+1","N","18.3645","-66.5673",
28,"Garrochales","PR","00652","787",72013,"Arecibo","EST+1","N","18.4598","-66.6117",
29,"Guanica","PR","00653","787",72055,"Guanica","EST+1","N","17.9714","-66.9064",
30,"Guayanilla","PR","00656","787",72059,"Guayanilla","EST+1","N","18.0206","-66.7913",
31,"Hatillo","PR","00659","787",72065,"Hatillo","EST+1","N","18.4851","-66.8257",
32,"Hormigueros","PR","00660","787",72067,"Hormigueros","EST+1","N","18.1684","-67.1306",
33,"Isabela","PR","00662","787",72071,"Isabela","EST+1","N","18.4951","-67.0273",
34,"Jayuya","PR","00664","787",72073,"Jayuya","EST+1","N","18.2205","-66.6046",
35,"Lajas","PR","00667","787",72079,"Lajas","EST+1","N","18.0409","-67.0495",
36,"Lares","PR","00669","787",72081,"Lares","EST+1","N","18.2912","-66.8528",
37,"Las Marias","PR","00670","787",72083,"Las Marias","EST+1","N","18.2539","-66.9876",
38,"Manati","PR","00674","787",72091,"Manati","EST+1","N","18.4259","-66.4717",
39,"Moca","PR","00676","787",72099,"Moca","EST+1","N","18.3946","-67.1158",
40,"Rincon","PR","00677","787",72117,"Rincon","EST+1","N","18.3427","-67.2504",
41,"Quebradillas","PR","00678","787",72115,"Quebradillas","EST+1","N","18.4738","-66.9364",
42,"Mayaguez","PR","00680","787",72097,"Mayaguez","EST+1","N","18.2038","-67.1453",
43,"Mayaguez","PR","00681","787",72097,"Mayaguez","EST+1","N","18.2035","-67.1433","P"
44,"Mayaguez","PR","00682","787",72097,"Mayaguez","EST+1","N","18.2030","-67.1400",
45,"San German","PR","00683","787",72125,"San German","EST+1","N","18.0846","-67.0463",
46,"San Sebastian","PR","00685","787",72131,"San Sebastian","EST+1","N","18.3413","-66.9910",
47,"Morovis","PR","00687","787",72101,"Morovis","EST+1","N","18.3346","-66.4186",
48,"Sabana Hoyos","PR","00688","787",72013,"Arecibo","EST+1","N","18.4356","-66.6145",
49,"San Antonio","PR","00690","787",72005,"Aguadilla","EST+1","N","18.4943","-67.0987",
